LL,PL,PI,Sat_Unit_Wt_kN_m3,Mv_50kPa,Cv_50kPa,Grain_CoarsePassing_pct,Fines_Content_pct,Sand_Fraction_pct,Gravel_Fraction_pct,Phi_deg,Cu_kPa
41.2,24.6,16.6,16.1865,0.59,0.84,100.0,48.4,51.6,0.0,4.0,71.0
38.2,21.2,17.0,16.4808,0.62,0.89,99.9,51.4,48.50000000000001,0.09999999999999432,4.0,73.0
32.7,21.3,11.4,18.148500000000002,0.45,0.69,99.6,34.8,64.8,0.4000000000000057,10.0,55.5
32.2,20.4,11.8,18.344700000000003,0.43,0.62,99.3,33.6,65.69999999999999,0.7000000000000028,12.0,57.7
30.3,18.1,12.2,18.5409,0.39,0.59,98.8,32.7,66.1,1.2000000000000028,14.0,60.4
26.6,17.0,9.6,18.639,0.36,0.54,98.5,31.4,67.1,1.5,15.0,45.2
24.6,15.4,9.2,18.7371,0.31,0.47,98.3,29.6,68.69999999999999,1.7000000000000028,16.0,41.7
39.2,22.6,16.6,16.4808,0.56,0.87,100.0,55.6,44.4,0.0,4.0,78.4
40.1,22.1,18.0,16.677,0.5,0.82,100.0,48.9,51.1,0.0,4.0,82.0
34.6,23.1,11.5,18.050400000000003,0.47,0.65,99.5,34.7,64.8,0.5,11.0,52.6
29.1,16.8,12.3,18.344700000000003,0.39,0.57,98.7,33.7,65.0,1.2999999999999972,14.0,60.4
24.6,15.0,9.6,18.639,0.35,0.52,98.6,30.5,68.1,1.4000000000000057,15.0,40.5
23.2,14.5,8.7,18.8352,0.3,0.45,97.8,28.9,68.9,2.200000000000003,16.0,37.2
32.7,21.3,11.4,18.148500000000002,0.45,0.69,99.6,34.8,64.8,0.4000000000000057,10.0,55.5
24.6,15.4,9.2,18.7371,0.31,0.47,98.3,29.6,68.69999999999999,1.7000000000000028,16.0,41.7
25.7,16.3,9.4,18.2466,0.25,0.4,98.2,29.1,69.1,1.7999999999999972,15.0,29.5
22.0,12.8,9.2,18.148500000000002,0.19,0.38,98.6,28.5,70.1,1.4000000000000057,15.0,28.2
34.6,23.0,11.6,18.050400000000003,0.47,0.65,99.4,34.9,64.5,0.5999999999999943,11.0,53.5
29.1,16.9,12.2,18.344700000000003,0.39,0.57,98.5,33.5,65.0,1.5,14.0,60.4
24.2,14.8,9.4,18.639,0.35,0.52,98.6,30.8,67.8,1.4000000000000057,15.0,40.5
23.1,14.3,8.8,18.8352,0.32,0.45,97.9,28.6,69.30000000000001,2.0999999999999943,16.0,38.1
39.2,22.5,16.7,16.4808,0.56,0.87,100.0,55.3,44.7,0.0,4.0,78.0
40.1,22.0,18.1,16.677,0.5,0.83,100.0,48.3,51.7,0.0,4.0,85.0
35.1,20.9,14.2,14.0283,0.61,0.89,100.0,42.0,58.0,0.0,4.0,51.2
34.7,20.1,14.6,14.1264,0.63,0.9,100.0,44.0,56.0,0.0,4.0,48.4
33.8,18.7,15.1,14.5188,0.65,0.92,100.0,47.0,53.0,0.0,4.0,47.1
20.1,8.7,11.4,18.5409,0.31,0.59,96.0,25.0,71.0,4.0,15.0,42.6
21.2,10.1,11.1,18.2466,0.34,0.61,94.0,22.0,72.0,6.0,15.0,42.3
22.0,9.8,12.2,17.7561,0.32,0.54,100.0,31.0,69.0,0.0,12.0,33.8
21.7,9.1,12.6,17.854200000000002,0.35,0.57,100.0,32.0,68.0,0.0,12.0,34.1
22.9,9.9,13.0,17.9523,0.38,0.6,100.0,35.0,65.0,0.0,12.0,35.8
18.1,8.3,9.8,18.8352,0.21,0.51,99.0,18.0,81.0,1.0,15.0,25.1
17.4,9.0,8.4,19.1295,0.24,0.56,100.0,21.0,79.0,0.0,15.0,25.6
33.2,21.8,11.4,17.854200000000002,0.28,0.67,100.0,32.0,68.0,0.0,12.0,30.5
29.5,17.5,12.0,18.148500000000002,0.34,0.7,100.0,34.0,66.0,0.0,12.0,32.7
18.4,8.8,9.6,16.5789,0.34,0.73,98.2,25.0,73.2,1.7999999999999972,12.0,34.8
18.6,8.4,10.2,16.775100000000002,0.38,0.8,99.0,23.0,76.0,1.0,12.0,35.6
20.1,9.3,10.8,16.9713,0.42,0.84,100.0,30.0,70.0,0.0,12.0,36.4
34.5,23.1,11.4,13.9302,0.71,1.21,100.0,41.0,59.0,0.0,4.0,42.3
36.2,22.4,13.8,14.2245,0.94,1.31,100.0,38.0,62.0,0.0,4.0,41.8
17.4,9.0,8.4,16.677,0.38,0.75,98.1,24.0,74.1,1.9000000000000057,12.0,31.6
15.1,5.9,9.2,17.0694,0.49,0.89,99.1,29.0,70.1,0.9000000000000057,12.0,32.1
42.5,24.5,18.0,13.537799999999999,0.65,1.2,100.0,42.0,58.0,0.0,4.0,62.4
43.4,24.2,19.2,13.6359,0.7,1.2,100.0,43.0,57.0,0.0,4.0,61.6
45.6,21.2,24.4,13.8321,0.75,1.25,100.0,46.0,54.0,0.0,4.0,62.2
18.2,12.8,5.4,18.148500000000002,0.21,0.64,98.1,28.0,70.1,1.9000000000000057,15.0,25.1
16.8,12.6,4.2,18.2466,0.35,0.72,97.6,31.0,66.6,2.4000000000000057,15.0,24.9
43.2,26.8,16.4,13.9302,0.65,0.84,100.0,42.0,58.0,0.0,4.0,38.4
23.7,15.3,8.4,13.537799999999999,0.69,0.89,100.0,41.0,59.0,0.0,2.0,25.6
18.2,7.0,11.2,18.050400000000003,0.38,0.72,100.0,34.0,66.0,0.0,12.0,32.1
17.7,6.1,11.6,18.050400000000003,0.42,0.78,100.0,32.0,68.0,0.0,12.0,33.6
16.2,3.7,12.5,18.2466,0.45,0.84,98.0,31.0,67.0,2.0,12.0,34.6
15.1,4.6,10.5,18.344700000000003,0.52,0.62,100.0,32.0,68.0,0.0,12.0,0.0
14.9,3.9,11.0,18.5409,0.4,0.78,98.0,30.0,68.0,2.0,15.0,0.0
28.4,12.0,16.4,15.107400000000002,0.51,0.82,100.0,38.0,62.0,0.0,4.0,43.4
26.5,9.5,17.0,14.715,0.62,0.96,100.0,42.0,58.0,0.0,4.0,45.9
22.6,10.2,12.4,17.854200000000002,0.35,0.66,100.0,30.0,70.0,0.0,10.0,36.4
26.5,14.4,12.1,17.9523,0.4,0.72,100.0,28.0,72.0,0.0,10.0,35.1
30.1,16.3,13.8,15.107400000000002,0.42,0.84,100.0,42.0,58.0,0.0,4.0,40.1
20.1,10.5,9.6,18.8352,0.39,0.64,100.0,33.0,67.0,0.0,10.0,24.0
37.2,26.0,11.2,18.050400000000003,0.42,0.75,100.0,38.0,62.0,0.0,12.0,36.8
31.1,18.5,12.6,18.2466,0.35,0.56,100.0,34.0,66.0,0.0,10.0,30.1
24.1,14.5,9.6,17.854200000000002,0.28,0.52,100.0,34.0,66.0,0.0,12.0,32.4
22.1,12.9,9.2,17.9523,0.34,0.61,99.0,33.0,66.0,1.0,15.0,33.0
32.8,18.2,14.6,14.5188,0.46,0.86,100.0,46.0,54.0,0.0,4.0,25.4
15.2,10.9,4.3,19.4,0.51,0.29,99.5,28.4,71.1,0.5,17.0,0.0
17.8,12.6,5.2,19.3,0.17,0.31,99.3,27.6,71.69999999999999,0.7000000000000028,17.0,0.0
