LL,PL,PI,Sat_Unit_Wt_kN_m3,Phi_deg,Cu_kPa,Mv_50kPa,Mv_100kPa,Mv_200kPa,Cv_50kPa,Cv_100kPa,Cv_200kPa,SPT_kPa,Grain_2.36mm,Grain_0.425mm,Grain_0.075mm,Source_File,Wn_%,Mv_400kPa,Cv_400kPa,SPT_N,CPT_MPa,Grain_2.00mm,Mv_50kPa (m²/MN)x10⁻⁴,Mv_400kPa (m²/MN)x10⁻⁴,Cv_50kPa (m²/yr),Cv_400kPa (m²/yr),Grain_2.00mm (%),Grain_0.425mm (%),Grain_0.075mm (%),Grain_4.75mm,Grain_75um,Grain_4.25um,Grain_2um,is_plastic,LI,qc_est
28.5,17.0,11.5,18.0,6.0,23.0,0.38,,,0.67,,,,,63.0,39.0,geotechnical_data_3.xlsx,23.5,0.45,0.84,,,100.0,,,,,,,,,,,,1,0.5651682462394575,
30.0,18.0,12.0,18.3,8.0,29.8,0.37,,,0.75,,,,,67.0,31.0,geotechnical_data_3.xlsx,26.0,0.51,0.92,,,97.0,,,,,,,,,,,,1,0.666611115740355,
31.4,18.0,13.4,18.4,8.0,32.0,0.43,,,0.75,,,,,68.0,41.0,geotechnical_data_3.xlsx,26.4,0.55,0.86,,,100.0,,,,,,,,,,,,1,0.6268188941123796,
28.2,13.7,14.5,18.6,10.0,34.6,0.48,,,0.8,,,,,65.0,31.0,geotechnical_data_3.xlsx,27.4,0.65,0.98,37.0,,94.0,,,,,,,,,,,,1,0.9447624301772292,14.8
20.4,9.9,10.5,19.8,15.0,21.0,0.21,,,0.51,,,,,55.0,27.0,geotechnical_data_3.xlsx,18.4,0.32,0.58,,,92.0,,,,,,,,,,,,1,0.8094467193600609,
15.2,6.7,8.5,20.5,17.0,19.4,0.24,,,0.47,,,,,45.0,12.0,geotechnical_data_3.xlsx,15.2,0.36,0.53,,,87.0,,,,,,,,,,,,1,0.9998823667803789,
28.0,16.2,11.8,18.2,6.0,23.5,0.36,,,0.69,,,,,70.0,38.0,geotechnical_data_3.xlsx,23.7,0.44,0.82,,,100.0,,,,,,,,,,,,1,0.6355393610710957,
29.7,17.5,12.2,18.3,8.0,29.4,0.39,,,0.74,,,,,64.0,31.0,geotechnical_data_3.xlsx,25.4,0.52,0.9,13.0,,100.0,,,,,,,,,,,,1,0.6474879108269813,5.2
32.7,19.5,13.2,18.4,8.0,32.0,0.42,,,0.76,,,,,68.0,39.0,geotechnical_data_3.xlsx,26.8,0.53,0.85,,,100.0,,,,,,,,,,,,1,0.5529884099689418,
28.1,14.0,14.1,18.6,10.0,35.2,0.46,,,0.8,,,,,65.0,29.0,geotechnical_data_3.xlsx,27.0,0.65,0.94,39.0,,94.0,,,,,,,,,,,,1,0.921920431175094,15.600000000000001
18.4,7.9,10.5,19.8,15.0,24.0,0.21,,,0.51,,,,,57.0,26.0,geotechnical_data_3.xlsx,18.4,0.29,0.64,,,92.0,,,,,,,,,,,,1,0.9999047709741928,
15.2,6.7,8.5,20.5,16.0,22.6,0.24,,,0.48,,,,,48.0,16.0,geotechnical_data_3.xlsx,15.2,0.36,0.57,,,87.0,,,,,,,,,,,,1,0.9998823667803789,
28.7,16.8,11.9,18.1,6.0,23.5,0.37,,,0.69,,,,,69.0,43.0,geotechnical_data_3.xlsx,22.8,0.43,0.84,,,100.0,,,,,,,,,,,,1,0.5041593143433325,
29.4,17.2,12.2,18.3,8.0,28.2,0.4,,,0.74,,,,,64.0,31.0,geotechnical_data_3.xlsx,25.7,0.52,0.9,14.0,,99.0,,,,,,,,,,,,1,0.6966642078518155,5.6000000000000005
31.4,18.3,13.1,18.5,8.0,32.2,0.43,,,0.72,,,,,71.0,41.0,geotechnical_data_3.xlsx,26.4,0.54,0.86,,,100.0,,,,,,,,,,,,1,0.6182734142431874,
28.6,15.1,13.5,18.6,10.0,34.8,0.48,,,0.81,,,,,68.0,32.0,geotechnical_data_3.xlsx,27.4,0.66,0.92,34.0,,94.0,,,,,,,,,,,,1,0.9110436263980446,13.600000000000001
19.1,9.0,10.1,19.6,15.0,21.0,0.21,,,0.42,,,,,57.0,30.0,geotechnical_data_3.xlsx,18.4,0.31,0.58,,,95.0,,,,,,,,,,,,1,0.9306009306009305,
16.2,6.7,9.5,20.1,17.0,20.0,0.24,,,0.44,,,,,48.0,14.0,geotechnical_data_3.xlsx,15.2,0.37,0.5,,,88.0,,,,,,,,,,,,1,0.8946426691927166,
35.2,23.2,12.0,18.7,6.0,38.4,0.74,,,1.2,,,,,75.1,40.1,geotechnical_data_4.xlsx,47.6,0.62,1.36,,,100.0,,,,,,,,,,,,1,2.033163903008083,
39.5,20.6,18.9,19.5,8.0,47.0,0.71,,,0.91,,,,,72.1,32.4,geotechnical_data_4.xlsx,43.5,0.39,1.1,75.53,,100.0,,,,,,,,,,,,1,1.2115761070842812,30.212000000000003
39.8,20.8,19.0,19.5,8.0,47.5,0.64,,,0.95,,,,,68.4,28.7,geotechnical_data_4.xlsx,42.3,0.68,0.98,103.86,,100.0,,,,,,,,,,,,1,1.1315193937161199,41.544000000000004
49.6,30.2,19.4,19.7,11.0,61.0,0.58,,,0.81,,,,,67.2,32.4,geotechnical_data_4.xlsx,42.6,0.57,0.88,151.07,,99.7,,,,,,,,,,,,1,0.6391423122519458,60.428
42.4,20.9,21.5,19.9,9.0,40.0,0.41,,,0.87,,,,,58.4,34.9,geotechnical_data_4.xlsx,45.7,0.48,0.95,217.16,,97.4,,,,,,,,,,,,1,1.1534347239663272,86.864
44.0,24.3,19.7,20.1,7.0,52.4,0.37,,,0.51,,,,,59.6,22.4,geotechnical_data_4.xlsx,45.6,0.41,0.82,,,94.1,,,,,,,,,,,,1,1.0811633927211817,
42.6,23.1,19.5,20.5,8.0,54.6,0.32,,,0.65,,,,,47.8,18.6,geotechnical_data_4.xlsx,44.8,0.39,0.77,226.6,,92.8,,,,,,,,,,,,1,1.112763448028306,90.64
87.4,36.0,51.4,19.7,11.0,58.0,0.64,,,1.07,,,,,75.8,74.6,geotechnical_data_4.xlsx,89.6,0.75,1.48,321.02,,99.6,,,,,,,,,,,,1,1.0427812688469096,128.408
86.7,34.0,52.7,19.9,12.0,63.0,0.72,,,1.23,,,,,74.2,84.3,geotechnical_data_4.xlsx,89.4,0.96,2.15,,,100.0,,,,,,,,,,,,1,1.0512134494601622,
34.6,21.2,13.4,18.8,6.0,40.2,0.75,,,1.2,,,,,76.4,41.3,geotechnical_data_4.xlsx,48.6,0.63,1.35,,,100.0,,,,,,,,,,,,1,2.044623535557048,
37.4,20.4,17.0,19.5,8.0,46.5,0.71,,,0.91,,,,,72.1,35.2,geotechnical_data_4.xlsx,42.4,0.4,1.08,66.09,,100.0,,,,,,,,,,,,1,1.2940415269690018,26.436000000000003
38.2,20.7,17.5,19.7,8.0,47.2,0.64,,,0.95,,,,,70.4,33.8,geotechnical_data_4.xlsx,42.9,0.68,0.98,84.97,,99.8,,,,,,,,,,,,1,1.2684989429175475,33.988
42.1,22.7,19.4,19.8,11.0,58.2,0.58,,,0.81,,,,,67.2,32.2,geotechnical_data_4.xlsx,43.5,0.58,0.9,113.3,,99.8,,,,,,,,,,,,1,1.07210968506778,45.32
43.1,21.6,21.5,19.8,10.0,46.5,0.42,,,0.88,,,,,58.4,35.0,geotechnical_data_4.xlsx,46.2,0.49,0.96,207.72,,97.4,,,,,,,,,,,,1,1.1441328310311147,83.08800000000001
